type,year,standalone_prior,hybrid_prior,standalone_new,hybrid_new,total_gw
Solar,2014,25.05242,0.0,19.5117,0.0,44.56412
Solar,2015,33.05512000000001,0.0,23.763492,0.0,56.81861200000001
Solar,2016,36.977478000000005,0.0,83.3325392,0.0,120.3100172
Solar,2017,83.57831400076292,0.0,104.93103424954224,0.0,188.50934825030515
Solar,2018,138.1984375006,11.556250000000006,115.5446449976,17.66671,282.9660424982
Solar,2019,155.78379600068658,43.00011800000001,109.78472499961852,58.5830964,367.1517354003051
Solar,2020,195.5608,95.9643,107.6153274,63.3043,462.4447274
Wind,2014,66.67344999999999,0.0,29.20245,0.0,95.8759
Wind,2015,65.02728499999999,0.0,44.562560000000005,0.0,109.589845
Wind,2016,74.75129,0.0,66.92415999999999,0.0,141.67544999999998
Wind,2017,98.7261699672413,0.0,81.44831500324247,0.0,180.17448497048375
Wind,2018,138.14305501430002,2.1899899952,91.00174494889998,0.8284000122,232.1631899706
Wind,2019,158.94881399866483,2.3705,55.64001,8.5429,225.5022239986648
Wind,2020,151.4145,2.952,44.49529999999999,10.277,209.1388
Storage,2014,0.0,,0.0,,0.0
Storage,2015,1.7607400000000002,,5.5424,,7.30314
Storage,2016,5.10035,,6.637814999999999,,11.738165
Storage,2017,10.055929998245242,,8.826424999160766,,18.882354997406008
Storage,2018,9.410030000000004,,19.623394304529995,,29.03342430453
Storage,2019,18.066953000000005,,37.33636599999999,,55.403319
Storage,2020,41.73935,67.13188,50.997,44.59851,204.46674
Gas,2014,79.96637999999999,0.0,65.1747,0.0,145.14108
Gas,2015,105.119612,0.0,58.229666,0.0,163.349278
Gas,2016,93.619382,0.0,39.756319000000005,0.0,133.375701
Gas,2017,74.77010797925473,0.0,36.10036,0.0,110.87046797925473
Gas,2018,58.24732700451,0.1058,27.4209400024,0.23845,86.01251700691
Gas,2019,48.27930400390626,0.3488,28.447029998817445,0.1315,77.2066340027237
Gas,2020,48.03790000000001,1.221,21.790800000000004,2.9719999999999978,74.0217
Nuclear,2014,5.757999999999999,,4.205,,9.963
Nuclear,2015,9.554,,0.0,,9.554
Nuclear,2016,1.408,,0.9522,,2.3602
Nuclear,2017,0.7442,,0.0805999999999999,,0.8248
Nuclear,2018,0.5848,,0.6451,,1.2299
Nuclear,2019,3.2835,,0.05,,3.3335
Nuclear,2020,3.2823,0.0,0.1,0.0,3.3823000000000003
Coal,2014,1.783,,1.8368,,3.6198
Coal,2015,3.169,,0.492,,3.661
Coal,2016,0.845,,0.03,,0.875
Coal,2017,0.179,,0.014,,0.193
Coal,2018,0.0829999999999999,,0.736,,0.819
Coal,2019,0.039,,0.011,,0.05
Coal,2020,0.1306999999999999,0.0,0.0,0.0,0.1306999999999999
Other,2014,18.34909,,7.0573,,25.406389999999995
Other,2015,9.364885999999998,,3.796967,,13.161853
Other,2016,6.03314,,4.43909,,10.47223
Other,2017,3.989000001430511,,2.24446,,6.233460001430511
Other,2018,3.6219840007,,2.96745100002,,6.58943500072
Other,2019,4.102278999904632,,0.545401,,4.647679999904632
Other,2020,5.41296,0.0672,0.8033,1.629229,7.912689
