animal_id,sex,study_site,deploy_on_longitude,deploy_on_latitude,deploy_off_type
HR_151.510,f,Hart Ranges,-122.11501187017765,54.81231749885028,unknown
GR_C04,f,Graham,,,unknown
GR_C03,f,Graham,,,unknown
HR_151.805,f,Hart Ranges,-122.11501187017765,54.81231749885028,unknown
HR_151.760,f,Hart Ranges,-122.11501187017765,54.81231749885028,unknown
HR_151.720,f,Hart Ranges,-122.11501187017765,54.81231749885028,unknown
GR_C18,f,Graham,,,unknown
KE_car120,f,Kennedy,-122.61009499488114,55.22062077336121,removal
KE_car118,f,Kennedy,-122.61009499488114,55.22062077336121,dead
HR_151.579,f,Hart Ranges,-122.11501187017765,54.81231749885028,unknown
GR_C13,f,Graham,,,unknown
HR_151.744,f,Hart Ranges,-122.11501187017765,54.81231749885028,unknown
GR_GC13,f,Graham,,,unknown
GR_C06,f,Graham,,,unknown
HR_151.535,f,Hart Ranges,-122.11501187017765,54.81231749885028,unknown
HR_151.600,f,Hart Ranges,-122.11501187017765,54.81231749885028,unknown
GR_C08,f,Graham,,,unknown
GR_GC08,f,Graham,,,unknown
HR_152.641,f,Hart Ranges,-122.11501187017765,54.81231749885028,unknown
HR_151.660,f,Hart Ranges,-122.11501187017765,54.81231749885028,unknown
HR_151.735,f,Hart Ranges,-122.11501187017765,54.81231749885028,unknown
GR_C20,f,Graham,,,unknown
HR_151.550,f,Hart Ranges,-122.11501187017765,54.81231749885028,unknown
HR_151.775,f,Hart Ranges,-122.11501187017765,54.81231749885028,unknown
GR_C05,f,Graham,,,unknown
HR_151.680,f,Hart Ranges,-122.11501187017765,54.81231749885028,unknown
GR_C14,f,Graham,,,unknown
GR_C07,f,Graham,,,unknown
GR_GC17,f,Graham,,,unknown
HR_151.620,f,Hart Ranges,-122.11501187017765,54.81231749885028,unknown
GR_GC07,f,Graham,,,unknown
HR_151.499,f,Hart Ranges,-122.11501187017765,54.81231749885028,unknown
GR_GC15,f,Graham,,,unknown
GR_GC22,f,Graham,,,unknown
HR_151.785,f,Hart Ranges,-122.11501187017765,54.81231749885028,unknown
HR_151.570,f,Hart Ranges,-122.11501187017765,54.81231749885028,unknown
GR_CG06,f,Graham,,,unknown
GR_GC10,f,Graham,,,unknown
HR_151.700,f,Hart Ranges,-122.11501187017765,54.81231749885028,unknown
GR_GC19,f,Graham,,,unknown
HR_151.635,f,Hart Ranges,-122.11501187017765,54.81231749885028,unknown
GR_GC03,f,Graham,,,unknown
GR_C16,f,Graham,,,unknown
HR_151.589,f,Hart Ranges,-122.11501187017765,54.81231749885028,unknown
HR_151.801,f,Hart Ranges,-122.11501187017765,54.81231749885028,unknown
HR_151.749,f,Hart Ranges,-122.11501187017765,54.81231749885028,unknown
GR_GC14,f,Graham,,,unknown
KE_car119,f,Kennedy,-122.61009499488114,55.22062077336121,removal
GR_C19,f,Graham,,,unknown
GR_GC09,f,Graham,,,unknown
HR_151.739,f,Hart Ranges,-122.11501187017765,54.81231749885028,unknown
HR_151.711,f,Hart Ranges,-122.11501187017765,54.81231749885028,unknown
HR_151.649,f,Hart Ranges,-122.11501187017765,54.81231749885028,unknown
GR_C01,f,Graham,,,unknown
GR_GC02,f,Graham,,,unknown
HR_151.670,f,Hart Ranges,-122.11501187017765,54.81231749885028,unknown
HR_151.609,f,Hart Ranges,-122.11501187017765,54.81231749885028,unknown
HR_151.960,f,Hart Ranges,-122.11501187017765,54.81231749885028,unknown
HR_151.770,f,Hart Ranges,-122.11501187017765,54.81231749885028,unknown
HR_151.730,f,Hart Ranges,-122.11501187017765,54.81231749885028,unknown
GR_C21,f,Graham,,,unknown
KE_car121,f,Kennedy,-122.61009499488114,55.22062077336121,removal
GR_GC12,f,Graham,,,unknown
GR_GC05,f,Graham,,,unknown
GR_C10,f,Graham,,,unknown
GR_C11,f,Graham,,,unknown
HR_151.519,f,Hart Ranges,-122.11501187017765,54.81231749885028,unknown
HR_151.690,f,Hart Ranges,-122.11501187017765,54.81231749885028,unknown
GR_C12,f,Graham,,,unknown
GR_GC21,f,Graham,,,unknown
GR_C02,f,Graham,,,unknown
HR_151.629,f,Hart Ranges,-122.11501187017765,54.81231749885028,unknown
GR_GC06,f,Graham,,,unknown
GR_C15,f,Graham,,,unknown
HR_151.000,f,Hart Ranges,-122.11501187017765,54.81231749885028,unknown
GR_GC23,f,Graham,,,unknown
HR_151.780,f,Hart Ranges,-122.11501187017765,54.81231749885028,unknown
GR_GC04,f,Graham,,,unknown
GR_GC11,f,Graham,,,unknown
GR_C09,f,Graham,,,unknown
HR_151.540,f,Hart Ranges,-122.11501187017765,54.81231749885028,unknown
GR_C22,f,Graham,,,unknown
HR_151.701,f,Hart Ranges,-122.11501187017765,54.81231749885028,unknown
GR_GC18,f,Graham,,,unknown
GR_C17,f,Graham,,,unknown
HR_151.641,f,Hart Ranges,-122.11501187017765,54.81231749885028,unknown
GR_GC01,f,Graham,,,unknown
HR_151.790,f,Hart Ranges,-122.11501187017765,54.81231749885028,unknown
GR_GC16,f,Graham,,,unknown
GR_GC20,f,Graham,,,unknown
HR_151.559,f,Hart Ranges,-122.11501187017765,54.81231749885028,unknown
GR_C06,f,Graham,,,unknown
GR_C04,f,Graham,,,unknown
GR_C10,f,Graham,,,unknown
GR_C08,f,Graham,,,unknown
GR_C02,f,Graham,,,unknown
GR_C09,f,Graham,,,unknown
GR_C05,f,Graham,,,unknown
GR_C12,f,Graham,,,unknown
GR_C01,f,Graham,,,unknown
KE_car004,f,Kennedy,-122.387299792497,55.1980336691496,dead
MO_car006,f,Moberly,-122.441040977784,55.845269502847,dead
HR_car002,f,Hart Ranges,-122.112324625623,54.8458589419695,other
MO_car005,f,Moberly,-122.412619930324,55.611513701788,dead
KE_car003,f,Kennedy,-122.309065584389,55.1796428865921,dead
HR_car001,f,Hart Ranges,-121.895566488888,54.7991446169588,dead
QU_car008,f,Quintette,-121.375940352159,54.9550831703712,dead
QU_car007,f,Quintette,-121.514439629984,55.0107792386532,other
MO_car010,f,Moberly,-122.428363461454,55.6205737525716,removal
MO_car009,f,Moberly,-122.428363461454,55.6205737525716,removal
KE_car011,f,Kennedy,-122.827608758991,55.1006022116399,removal
QU_car014,f,Quintette,-121.007788298203,54.9347044754539,removal
QU_car012,f,Quintette,-121.497520850564,55.0868026846657,removal
QU_car013,f,Quintette,-121.135447671844,54.9917372529328,other
QU_car015,f,Quintette,-121.648478849576,54.8459677223052,other
HR_car017,f,Hart Ranges,-122.021507063186,54.7373150207531,other
HR_car019,f,Hart Ranges,-122.6224360103,55.2529049937076,removal
KE_car018,f,Kennedy,-122.6224360103,55.2529049937076,removal
HR_car016,f,Hart Ranges,-122.162385728406,54.6844469390624,removal
MO_car020,f,Moberly,-122.428363461454,55.6205737525716,removal
BP_car022,m,Burnt Pine,-122.112744951799,55.329182696364,other
MO_car009,f,Moberly,-122.432184941216,55.6330276439218,dead
MO_car021,f,Moberly,-122.498258760922,55.736415634088,dead
BP_car023,f,Burnt Pine,-122.277060008195,55.3314335351925,dead
KE_car011,f,Kennedy,-122.40394533422,55.1974870997361,dead
KE_car024,f,Kennedy,-122.817688710957,55.1143098169245,removal
MO_car010,f,Moberly,-122.624491176867,55.740972575374,removal
KE_car025,f,Kennedy,-122.815821779508,55.107782975609,removal
MO_car020,f,Moberly,-122.474501488363,55.6222267535256,removal
KE_car027,f,Kennedy,-122.817586588842,55.1091964758104,dead
KE_car028,f,Kennedy,-122.818463626429,55.1093685248587,dead
KE_car026,m,Kennedy,-122.83721354489,55.1242582918717,dead
HR_car029,f,Hart Ranges,-121.869372116322,54.6406439114837,removal
HR_car019,f,Hart Ranges,-122.304431942353,54.9838180770527,dead
QU_car012,f,Quintette,-121.386070388969,55.1264764692326,removal
HR_car030,f,Hart Ranges,-122.132737091862,54.851155994022,removal
QU_car031,f,Quintette,-121.259696003025,54.9854984898981,removal
HR_car033,f,Hart Ranges,-122.105708578093,54.7005425132402,other
BP_car032,f,Burnt Pine,-122.111180346583,55.3357043720689,removal
HR_car016,f,Hart Ranges,-122.269900328902,54.7749680904582,dead
HR_car034,f,Hart Ranges,-121.768760598019,54.6646933886449,dead
QU_car035,f,Quintette,-121.418613977076,54.9183109269249,dead
KE_car039,f,Kennedy,-122.612661188865,55.248596976215,other
QU_car038,f,Quintette,-121.504456487536,54.9167553525892,dead
QU_car037,f,Quintette,-120.961389251541,54.8715188847136,dead
QU_car036,f,Quintette,-120.961389251541,54.8715188847136,dead
QU_car041,f,Quintette,-121.38333123539,55.1333245540822,removal
BP_car043,f,Burnt Pine,-122.20059930235,55.3709908159017,removal
QU_car040,f,Quintette,-121.38333123539,55.1333245540822,removal
KE_car044,f,Kennedy,-122.613614336292,55.2865482799057,removal
QU_car042,f,Quintette,-121.38333123539,55.1333245540822,removal
QU_car046,f,Quintette,-121.01393274327,54.8721020217742,removal
QU_car045,f,Quintette,-121.01393274327,54.8721020217742,removal
KE_car047,f,Kennedy,-122.61009499488114,55.22062077336121,dead
KE_car048,f,Kennedy,-122.61009499488114,55.22062077336121,removal
KE_car050,f,Kennedy,-122.61009499488114,55.22062077336121,removal
KE_car049,f,Kennedy,-122.61009499488114,55.22062077336121,removal
KE_car051,f,Kennedy,-122.61009499488114,55.22062077336121,removal
MO_car052,f,Moberly,-122.470147415815,55.8857421934218,dead
KE_car053,f,Kennedy,-122.382495175538,55.4755992359079,removal
NA_car056,f,Narraway,-120.462969685018,55.100985188826,dead
NA_car055,m,Narraway,-120.595409957043,55.0307445938792,dead
NA_car054,f,Narraway,-120.607309180868,55.0290735304197,dead
QU_car060,f,Quintette,-121.025524943877,54.8444449093122,other
QU_car057,f,Quintette,-120.86884073459,54.8634758781361,removal
QU_car059,f,Quintette,-121.02726547057,54.8509089319974,removal
QU_car058,f,Quintette,-120.877591063498,54.8618404098313,removal
KE_car061,f,Kennedy,-122.614570290661,55.2528804124431,dead
KE_car065,f,Kennedy,-122.614570290661,55.2528804124431,removal
KE_car062,f,Kennedy,-122.614570290661,55.2528804124431,removal
KE_car064,f,Kennedy,-122.614570290661,55.2528804124431,removal
KE_car063,f,Kennedy,-122.614570290661,55.2528804124431,removal
QU_car069,f,Quintette,-121.386984619282,55.1372555494918,removal
MO_car066,f,Moberly,-122.596942642151,55.7496280974289,dead
MO_car067,f,Moberly,-122.599596368265,55.7534016504731,removal
QU_car070,f,Quintette,-121.34036902808,55.1139360558172,removal
QU_car068,f,Quintette,-121.943580860039,28.1343213346089,removal
QU_car074,f,Quintette,-121.422952338122,55.1143231123627,removal
QU_car073,f,Quintette,-121.300636002192,54.9002255067438,other
QU_car072,f,Quintette,-121.342518867361,54.9015771004619,dead
QU_car075,f,Quintette,-121.337447964913,55.1144264914464,removal
QU_car071,f,Quintette,-121.428325816635,55.0744972806337,removal
NA_car077,f,Narraway,-120.580083600977,55.0762491187323,removal
NA_car078,f,Narraway,-120.595942848018,55.054504257347,dead
MO_car080,f,Moberly,-122.57959475733,55.799870046968,dead
MO_car079,f,Moberly,-122.794993908926,55.8628919212253,dead
KE_car098,f,Kennedy,-122.590440411601,55.2327088295012,removal
KE_car096,f,Kennedy,-122.789612083114,55.3136756742507,removal
KE_car095,f,Kennedy,-122.789612083114,55.3136756742507,dead
KE_car099,f,Kennedy,-122.590440411601,55.2327088295012,removal
